id,addr_state,annual_inc,emp_length,emp_title,home_ownership,installment,loan_amnt,purpose,term,int_rate,avg_cur_bal,inq_last_12m,max_bal_bc,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,num_bc_tl,num_il_tl,num_op_rev_tl,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,percent_bc_gt_75,pub_rec_bankruptcies,total_acc,total_bal_ex_mort,loan_status
5030397,NM,90000,10+ years,Custom and Border Protection,MORTGAGE,547.43,24000,credit_card, 60 months,13.11%,18357,,,139,276,6,6,4,,10,7,10,0,3,12,40,0,33,29684,Fully Paid
113009795,IL,53100,10+ years,Project manager,MORTGAGE,162.73,4900,debt_consolidation, 36 months,11.99%,3150,2,1990,81,66,10,10,1,31,2,16,5,0,6,20,100,0,22,62991,Fully Paid
8569724,CA,76000,9 years,Sr Social Worker,RENT,625.81,20000,debt_consolidation, 36 months,7.90%,1215,,,,174,9,9,0,24,10,0,9,0,3,10,0,0,19,12153,Fully Paid
130793408,KS,120000,10+ years,Executive Director ,MORTGAGE,578.62,19000,debt_consolidation, 36 months,6.07%,30956,3,6440,162,268,58,8,3,12,9,13,6,0,1,13,0,0,32,70490,Fully Paid
56102664,CA,60000,10+ years,Front Desk,RENT,69.93,2000,debt_consolidation, 36 months,15.61%,2301,,,125,234,2,2,6,,14,10,18,0,10,20,20,1,46,41412,Charged Off
71955425,CA,60000,10+ years,accounting manager,RENT,170.09,5000,debt_consolidation, 36 months,13.67%,2837,4,1040,108,156,1,1,2,6,7,11,5,2,3,7,50,0,30,19861,Fully Paid
65715682,NY,52000,10+ years,Supervisor,RENT,498.6,14300,other, 36 months,15.41%,6824,,,87,183,18,14,0,5,13,10,7,0,0,15,100,0,33,88713,Fully Paid
9154741,VA,11424,,,OWN,114.59,3250,debt_consolidation, 36 months,16.20%,587,,,67,74,1,1,0,,13,3,11,0,2,11,20,0,18,6454,Charged Off
115148149,IL,195000,10+ years,Sales,RENT,389.58,12000,debt_consolidation, 36 months,10.42%,4006,2,10639,142,384,2,2,1,30,10,7,10,0,2,11,0,0,30,40057,Fully Paid
91556680,GA,25000,10+ years,Owner,RENT,164.93,4500,debt_consolidation, 36 months,18.99%,3595,1,1369,114,110,15,5,1,23,5,5,8,0,3,11,80,0,16,14794,Fully Paid
98227426,NY,76000,1 year,PPS Manager,MORTGAGE,314.48,10000,debt_consolidation, 36 months,8.24%,10193,6,4378,155,229,50,5,2,4,7,27,5,1,2,16,50,0,43,95652,Fully Paid
134730577,NJ,116000,10+ years,Home Care physical therapist,MORTGAGE,544.19,25000,credit_card, 60 months,11.05%,9456,7,23162,197,151,25,7,5,7,16,15,20,0,1,22,30.8,0,47,114922,Charged Off
138378780,AL,75000,2 years,Registered Nurse,MORTGAGE,584.79,18000,debt_consolidation, 36 months,10.47%,51502,0,2302,238,92,32,4,2,3,4,20,1,0,1,6,0,0,32,87597,Fully Paid
704763,OH,40320,3 years,Lovingcare Transitional Home,RENT,186.86,8000,major_purchase, 60 months,14.17%,,,,,,,,,,,,,,,9,,0,13,,Fully Paid
67725849,FL,56000,6 years,Area Manager,MORTGAGE,406.72,13000,credit_card, 36 months,7.89%,8836,2,9614,138,146,10,10,1,11,19,13,12,0,2,17,33.3,0,53,33318,Fully Paid
45354936,NY,110000,8 years,Police Officer,RENT,496.83,22575,credit_card, 60 months,11.53%,4190,,,183,167,16,3,5,61,4,33,8,0,1,22,100,0,51,92188,Charged Off
68597793,MI,45000,2 years,Registered Nurse,RENT,597.77,16200,debt_consolidation, 36 months,19.48%,6026,3,3364,75,43,11,2,0,,3,12,8,0,2,11,100,0,20,66290,Fully Paid
3094715,TX,161000,10+ years,Carter's furniture,MORTGAGE,847.42,35000,home_improvement, 60 months,15.80%,41030,,,214,179,72,4,3,,8,31,8,0,2,13,0,0,47,77018,Fully Paid
85513890,VT,64000,10+ years,Site coordinator,MORTGAGE,551.82,18075,debt_consolidation, 60 months,26.99%,10475,4,7083,196,131,4,1,2,32,15,26,7,0,9,14,50,0,44,65901,Charged Off
73805281,CA,133000,2 years,Software Developer,MORTGAGE,200.23,6400,debt_consolidation, 36 months,7.89%,9645,2,6966,137,154,78,24,1,41,4,11,2,0,0,4,0,0,17,38578,Fully Paid
529449,VA,125600,< 1 year,General Dynamics,MORTGAGE,431.68,13800,credit_card, 36 months,7.88%,,,,,,,,,,,,,,,11,,0,23,,Fully Paid
34934154,WI,16000,1 year,Customer Service Technician,RENT,64.06,2000,other, 36 months,9.49%,79,,,110,220,4,4,1,,9,2,9,0,2,10,0,0,22,708,Fully Paid
75909962,LA,148800,3 years,Sr. Mechanical Engineer,RENT,919.34,30000,debt_consolidation, 36 months,6.49%,16481,0,11205,14,103,13,13,0,,4,1,4,0,0,6,0,0,7,98886,Fully Paid
35893801,MA,67000,10+ years,production manager,RENT,789.91,30750,credit_card, 60 months,18.54%,2628,,,84,112,12,8,0,,30,3,20,0,2,23,13.3,0,46,60452,Charged Off
17725325,CA,130000,3 years,GENERAL MANAGER,MORTGAGE,705.7,30000,credit_card, 60 months,14.49%,8933,,,154,214,16,16,0,,10,9,3,0,0,6,100,0,23,53598,Fully Paid
5125776,SC,82000,1 year,Creative Pointe Designs,MORTGAGE,798.52,24000,debt_consolidation, 36 months,12.12%,14854,,,155,212,10,10,2,39,10,4,13,0,1,17,66.7,0,26,68570,Fully Paid
145517015,WA,106000,10+ years,Teacher,MORTGAGE,289.02,8400,debt_consolidation, 36 months,14.47%,26157,2,4092,110,137,5,5,2,48,4,8,9,0,4,15,75,0,21,70028,Fully Paid
113875152,MA,45000,5 years,Shared Living Provider Specialist,MORTGAGE,271.84,8000,home_improvement, 36 months,13.59%,13386,2,3310,161,230,8,3,2,7,7,4,7,0,2,12,50,0,19,23623,Charged Off
63496854,PA,74544,10+ years,teacher,MORTGAGE,157.1,5000,credit_card, 36 months,8.18%,3122,,,164,250,11,8,2,25,27,6,5,0,2,7,33.3,0,44,18733,Fully Paid
131978474,NC,45000,1 year,School Counselor ,RENT,527.43,15000,debt_consolidation, 36 months,16.01%,18653,1,4356,116,107,27,3,0,12,4,28,8,2,1,10,50,0,39,149221,Fully Paid
125363781,CA,270000,10+ years,VP Supply Chain,OWN,838.91,40000,home_improvement, 60 months,9.44%,92783,3,9670,73,331,3,3,8,63,5,5,4,0,3,9,25,0,23,74024,Fully Paid
68528997,CA,120000,10+ years,area controller,RENT,432.22,14000,debt_consolidation, 36 months,6.99%,3631,0,1353,165,141,10,10,5,6,3,12,6,0,1,13,0,0,28,43577,Fully Paid
132318052,AZ,45000,10+ years,Driver,RENT,169.87,5000,debt_consolidation, 36 months,13.58%,38338,2,0,157,175,4,4,1,21,3,4,3,0,3,6,,0,15,15338,Charged Off
73785507,GA,62400,< 1 year,bench work ( jelweler),MORTGAGE,318.75,10000,credit_card, 36 months,9.16%,46548,2,4890,137,175,29,4,1,42,5,5,3,0,1,6,0,2,12,43172,Fully Paid
6518418,AZ,24000,,,MORTGAGE,76.59,2000,wedding, 36 months,22.20%,2475,,,4,214,1,1,1,29,8,1,4,0,3,5,66.7,0,13,12373,Fully Paid
88156832,FL,39700,6 years,chef,MORTGAGE,538.65,15875,debt_consolidation, 36 months,13.49%,19324,1,4812,49,135,10,3,1,,5,3,4,0,2,7,50,0,12,31819,Fully Paid
107695414,NY,53000,10+ years,Field Technician,RENT,335.12,10000,debt_consolidation, 36 months,12.62%,6657,1,0,132,334,13,13,1,21,4,5,3,1,0,4,,0,14,26628,Fully Paid
11718198,NY,20000,,,RENT,74.84,2000,debt_consolidation, 36 months,20.50%,429,,,86,138,5,5,0,62,5,1,8,0,4,8,100,1,14,3434,Fully Paid
71734322,AL,125000,10+ years,Plant operator,MORTGAGE,378.2,12000,debt_consolidation, 36 months,8.39%,40275,5,4664,95,183,6,1,8,74,11,9,5,0,4,7,0,0,38,35518,Fully Paid
112715516,CA,80747,3 years,Senior Analyst,OWN,576.09,18000,car, 36 months,9.44%,105,1,311,,51,45,45,0,,3,0,3,0,0,3,0,0,3,316,Fully Paid
9694749,GA,80000,5 years,Police Officer,MORTGAGE,748.61,21000,debt_consolidation, 36 months,16.99%,12288,,,192,248,1,1,1,43,6,7,10,0,3,13,66.7,0,21,65659,Fully Paid
111074484,MA,70000,2 years,Marketing Coordinator,MORTGAGE,880.11,24000,debt_consolidation, 36 months,19.03%,5518,0,10216,106,63,4,4,0,,10,12,13,0,5,21,33.3,0,30,115888,Fully Paid
88958394,GA,200000,10+ years,Human Resources,MORTGAGE,302.34,9000,medical, 36 months,12.79%,16856,1,8602,148,266,9,1,3,,8,15,17,0,5,27,100,0,44,184174,Fully Paid
88932822,NV,72000,5 years,Account Admin,RENT,494.27,12600,debt_consolidation, 36 months,23.99%,10571,2,762,133,167,13,6,1,17,4,33,7,0,3,11,50,0,43,116277,Fully Paid
124053417,GA,112000,6 years,Manager,MORTGAGE,304.59,10000,credit_card, 36 months,6.08%,3154,1,7665,124,262,4,4,0,73,9,7,15,0,3,18,14.3,0,31,53623,Fully Paid
117228185,CA,50000,9 years,IT Manager,MORTGAGE,806.77,22000,debt_consolidation, 36 months,19.03%,11554,0,11048,37,240,3,3,0,,5,1,8,0,1,9,50,0,13,103989,Fully Paid
124042210,NY,40000,< 1 year,Phlebotomist,RENT,513.25,15000,credit_card, 36 months,14.08%,3778,1,0,110,113,24,24,0,22,5,8,5,4,0,11,0,0,22,41557,Fully Paid
63524270,IN,125000,6 years,Business Manager,MORTGAGE,497.19,19475,debt_consolidation, 60 months,18.25%,9446,,,121,89,11,2,0,,8,14,4,0,6,8,0,0,23,75564,Fully Paid
121370953,NY,64000,10+ years,Facilities technician,RENT,56.86,1500,other, 36 months,21.45%,1945,2,4835,41,113,9,5,0,36,10,5,13,0,3,15,14.3,0,23,29169,Fully Paid
85602152,CA,38000,2 years,Benefits Specialist,RENT,327.34,10000,debt_consolidation, 36 months,10.99%,1581,3,2333,120,167,14,14,0,10,2,4,5,1,0,7,50,0,12,7906,Fully Paid
66644669,CA,150000,< 1 year,Associate Attorney,MORTGAGE,361.38,12000,credit_card, 36 months,5.32%,42120,,,171,224,22,14,1,,9,25,4,0,0,13,0,0,36,180813,Fully Paid
8998108,PA,56000,< 1 year,Resident,RENT,49.82,1500,debt_consolidation, 36 months,11.99%,1610,,,75,282,15,15,0,18,10,13,7,1,0,7,20,0,28,9658,Fully Paid
40463235,FL,44000,10+ years,MAINTENANCE,MORTGAGE,364.7,15000,debt_consolidation, 60 months,15.99%,8860,,,119,353,13,12,14,34,15,6,5,0,1,7,50,2,54,53157,Fully Paid
36290541,PA,104000,10+ years,Principal Systems Analyst,MORTGAGE,1190.45,35000,debt_consolidation, 36 months,13.66%,43506,,,156,146,10,10,6,,11,3,7,0,1,8,80,0,29,48278,Fully Paid
44056794,TX,50000,1 year,MSR,RENT,283.28,12000,credit_card, 60 months,14.65%,2617,,,108,98,2,2,0,61,12,11,12,0,7,15,12.5,0,28,39248,Charged Off
86906115,NY,775000,8 years,Managing Director,MORTGAGE,605.11,19600,home_improvement, 36 months,6.99%,70443,1,6621,97,215,23,4,2,,6,4,6,0,1,11,100,0,17,90845,Fully Paid
34444079,CT,55000,10+ years,Accounting Adminitrator,OWN,587.66,20850,home_improvement, 60 months,22.99%,3179,,,112,148,2,2,4,,4,2,10,0,3,11,33.3,1,18,28613,Fully Paid
32379426,NC,145000,7 years,Director of Sales,RENT,872.48,35000,debt_consolidation, 60 months,17.14%,53211,,,136,245,37,23,4,,10,8,4,0,0,7,100,0,28,64190,Fully Paid
2364718,GA,42000,5 years,"Flowers Foods, Inc.",MORTGAGE,132.97,3625,debt_consolidation, 36 months,19.05%,40531,,,16,115,24,9,3,6,2,2,1,0,1,4,0,0,7,43045,Fully Paid
88063588,TN,45000,7 years,Supervisor,OWN,288.91,7775,debt_consolidation, 36 months,19.99%,1135,3,3046,124,81,8,8,0,,9,7,15,0,4,16,22.2,1,23,18165,Fully Paid
32138184,NC,76000,10+ years,ass.professor,MORTGAGE,528.92,16000,credit_card, 36 months,11.67%,1554,,,58,183,9,9,1,52,22,2,18,0,1,21,6.2,0,30,32626,Fully Paid
9867741,KS,70000,< 1 year,DotNET Engineer,MORTGAGE,760.36,29175,debt_consolidation, 60 months,19.22%,23203,,,82,117,2,2,1,,9,10,5,0,2,10,100,0,27,70090,Fully Paid
14569970,FL,80000,< 1 year,Technology Test Analyst,RENT,501.74,15000,debt_consolidation, 36 months,12.49%,3577,,,3,69,16,3,0,5,11,1,9,0,1,10,12.5,0,13,35773,Charged Off
88931124,FL,50000,5 years,Marketing Manager,RENT,194.18,4950,debt_consolidation, 36 months,23.99%,2600,4,569,103,106,2,2,0,43,9,3,7,0,7,9,0,0,15,23402,Fully Paid
13407682,NY,42000,2 years,Caseworker,OWN,462.42,14400,credit_card, 36 months,9.67%,965,,,73,149,5,5,0,,12,1,15,0,2,15,33.3,0,29,13503,Fully Paid
65322274,NJ,200000,7 years,Partner,MORTGAGE,657,21000,home_improvement, 36 months,7.89%,50166,,,57,135,9,9,2,7,9,2,6,0,1,9,25,0,17,12449,Fully Paid
28744657,MI,100000,10+ years,Technical Service Representative,MORTGAGE,434.3,12825,debt_consolidation, 36 months,13.35%,41962,,,128,117,3,3,4,19,3,5,3,0,3,7,50,0,16,15944,Fully Paid
64231361,MS,70000,1 year,RN/Regional Administrator,MORTGAGE,328.43,10000,debt_consolidation, 36 months,11.22%,5141,,,231,297,33,5,1,11,6,20,4,0,1,7,66.7,0,33,35989,Fully Paid
41140617,PA,80000,10+ years,Teacher,MORTGAGE,472.14,20000,debt_consolidation, 60 months,14.65%,19610,,,195,176,11,9,3,,15,36,12,0,4,33,60,0,71,102382,Fully Paid
66460730,PA,60000,,,RENT,360.7,16000,credit_card, 60 months,12.59%,1864,,,157,411,3,2,4,,22,16,12,0,6,16,33.3,1,58,26101,Charged Off
131973995,PA,75000,2 years,Machinist,MORTGAGE,345.77,15000,debt_consolidation, 60 months,13.58%,28338,3,2681,175,243,2,2,4,18,4,4,3,0,4,7,0,0,14,7436,Charged Off
65324556,WI,132000,10+ years,Vice President of Treasury,MORTGAGE,945.87,28000,credit_card, 36 months,13.18%,25487,,,159,363,9,1,4,11,11,6,11,1,2,17,57.1,0,33,99940,Fully Paid
14227854,OH,34000,10+ years,Surgical Scheduler,MORTGAGE,163.67,5000,debt_consolidation, 36 months,10.99%,7252,,,129,120,9,7,1,29,9,6,10,0,3,13,0,0,23,16646,Fully Paid
89003262,FL,56000,3 years,Wire Technician,RENT,85.86,2375,small_business, 36 months,17.99%,1129,5,889,43,150,6,6,1,65,11,1,8,0,4,9,16.7,0,15,10161,Fully Paid
8960792,IL,79500,2 years,Senior Fund Accountant,RENT,289.34,12000,credit_card, 60 months,15.61%,3506,,,111,80,7,7,0,,9,13,10,0,2,21,71.4,0,25,73626,Fully Paid
145155819,IL,72000,10+ years,Probation Officer,MORTGAGE,932.68,36000,major_purchase, 60 months,18.94%,44467,11,623,7,247,21,7,3,,4,1,2,0,1,3,0,0,13,623,Fully Paid
120240149,MT,50000,10+ years,Civil Deputy,MORTGAGE,109.63,3500,other, 36 months,7.97%,14988,2,8764,201,467,2,2,3,,6,14,6,0,5,10,50,0,30,26451,Fully Paid
2464600,FL,67000,2 years,Stateline Products Inc.,MORTGAGE,348.18,10000,credit_card, 36 months,15.31%,2433,,,162,228,3,3,1,35,13,5,15,0,3,16,44.4,0,26,38929,Fully Paid
73333822,MO,150000,9 years,Owner/Independent Operator,MORTGAGE,931.68,30000,credit_card, 36 months,7.39%,26775,0,20926,173,326,15,14,3,77,6,9,7,0,0,9,16.7,0,20,34611,Fully Paid
63484990,OH,38000,10+ years,machine operator ,OWN,180.11,5400,debt_consolidation, 36 months,12.29%,5596,,,130,212,2,2,1,17,6,7,10,0,3,15,0,0,24,72746,Fully Paid
31457759,CA,177000,7 years,Partner,RENT,776.11,24000,other, 36 months,10.15%,19000,,,32,188,123,32,0,78,3,1,2,0,0,3,100,0,5,57000,Fully Paid
87994765,TX,58000,6 years,CST,MORTGAGE,259.99,8000,debt_consolidation, 36 months,10.49%,13203,2,230,131,84,1,1,4,3,3,14,13,0,5,16,0,0,31,33664,Fully Paid
131632580,MN,31564.8,4 years,sales/customer service,RENT,516.77,17000,debt_consolidation, 60 months,26.77%,2676,0,6081,39,79,27,18,0,,3,3,5,0,0,6,33.3,0,8,16056,Fully Paid
127504036,MN,74000,3 years,IT Analyst Programmer,RENT,398.52,12000,debt_consolidation, 36 months,11.99%,5710,0,5929,89,138,8,8,0,,6,4,7,0,3,9,60,0,12,51387,Fully Paid
68398837,FL,172000,10+ years,Senior Vice President,MORTGAGE,466.53,15000,small_business, 36 months,7.49%,31855,2,14928,179,468,15,5,9,26,9,9,9,0,2,15,16.7,0,31,51692,Fully Paid
42324602,IL,45000,10+ years,NIGHT SECURITY OFFICER,RENT,393.42,15000,medical, 60 months,19.52%,3312,,,138,456,2,2,1,,21,6,8,0,2,10,33.3,1,51,33117,Charged Off
98347567,OK,300000,10+ years,Agent/CEO,MORTGAGE,1073.88,31425,debt_consolidation, 36 months,13.99%,8161,2,15314,132,191,6,5,0,,9,29,14,1,5,21,37.5,0,45,171393,Fully Paid
96346584,ID,48000,5 years,Accounting Specialist,OWN,517.56,16000,debt_consolidation, 60 months,29.99%,2429,1,5994,35,147,6,6,0,,3,2,9,0,1,11,100,1,11,26724,Fully Paid
126108979,MI,105000,10+ years,Manager ,MORTGAGE,311.49,12000,credit_card, 60 months,19.03%,21344,6,3501,91,185,2,2,4,24,12,10,4,0,4,6,33.3,1,35,18207,Fully Paid
155927821,NC,103000,1 year,Development Engineer,MORTGAGE,1202.61,36000,debt_consolidation, 36 months,12.40%,5105,0,15032,167,284,24,24,2,20,8,7,7,0,0,13,85.7,0,18,66367,Fully Paid
139409562,AL,46992,2 years,Maintenance ,OWN,584.91,17000,debt_consolidation, 36 months,14.47%,2395,3,4679,61,27,9,6,0,,2,5,3,0,2,4,50,0,8,9578,Charged Off
87954812,TX,55000,7 years,Air Force,MORTGAGE,280.26,8500,debt_consolidation, 36 months,11.49%,36115,7,3744,48,96,4,4,1,21,5,4,5,0,3,8,66.7,0,11,56272,Fully Paid
91101741,FL,30000,9 years,account services ,MORTGAGE,174.78,5000,home_improvement, 36 months,15.59%,49332,2,5438,144,36,10,10,1,,1,5,3,0,2,4,100,0,9,8008,Fully Paid
5175812,TN,80000,10+ years,AKZO NOBEL,MORTGAGE,318.51,8900,debt_consolidation, 36 months,17.27%,19193,,,123,150,1,1,2,,13,11,9,0,4,12,60,1,36,27465,Fully Paid
76031402,WA,35000,1 year,Outdoor Builder ,RENT,312.86,10000,debt_consolidation, 36 months,7.89%,1266,2,1639,,46,20,20,0,,2,0,2,0,0,2,50,0,2,2532,Fully Paid
48646002,CA,16000,1 year,Driver,OWN,56.69,1600,other, 36 months,16.55%,2838,,,32,93,21,21,0,,1,1,3,0,0,3,100,0,6,8515,Fully Paid
30796007,CA,60000,2 years,journeyman,MORTGAGE,279.1,12000,debt_consolidation, 60 months,13.98%,1778,,,213,167,11,11,2,42,7,4,12,0,1,14,25,0,22,23118,Charged Off
38429630,FL,55873.16,10+ years,CUST. SERVICE TEAM MANAGER,RENT,682.46,21000,debt_consolidation, 36 months,10.49%,3634,,,130,214,8,8,0,46,7,3,10,0,1,11,100,0,20,36342,Fully Paid
141875900,VA,73000,8 years,Locomotive Engineer,MORTGAGE,722.75,20000,debt_consolidation, 36 months,17.97%,21875,3,225,145,144,8,5,1,34,3,30,1,0,3,11,0,1,36,38326,Fully Paid
2826122,HI,70000,10+ years,Unites States Coast Guard,RENT,116.9,3200,other, 36 months,18.75%,3204,,,107,97,21,6,0,44,6,4,3,0,1,5,0,0,14,12814,Fully Paid
60914239,NY,130000,10+ years,Regional FInance Director,RENT,733.52,32000,debt_consolidation, 60 months,13.33%,9184,,,147,335,2,1,4,,13,21,12,0,8,21,11.1,0,46,183677,Fully Paid
124866200,AL,49000,,,MORTGAGE,737.25,22000,debt_consolidation, 36 months,12.62%,11325,3,4434,123,233,4,4,5,,9,9,12,0,1,14,60,1,38,41192,Fully Paid
6918873,FL,52000,7 years,PTG Management Company,MORTGAGE,551.79,22750,credit_card, 60 months,15.88%,17155,,,156,103,9,9,2,,7,7,8,0,1,10,100,1,21,27701,Fully Paid
28764748,TX,123000,7 years,Vice Presidrnt,MORTGAGE,501.74,15000,debt_consolidation, 36 months,12.49%,51074,,,122,216,3,2,3,69,9,13,4,0,4,7,50,0,30,123443,Fully Paid
113544568,AR,36000,4 years,customer reltions specilists ,RENT,202.96,4800,other, 36 months,29.69%,8283,6,7428,117,109,35,4,0,,2,20,2,0,3,14,100,0,29,107683,Fully Paid
138277018,OR,48000,6 years,roofer,RENT,306.9,9500,credit_card, 36 months,10.08%,3463,2,6595,113,132,2,2,0,,8,5,8,0,6,10,14.3,0,14,34626,Charged Off
64017187,CA,60000,2 years,drafter,MORTGAGE,408.04,16000,debt_consolidation, 60 months,18.20%,19766,,,81,135,6,6,2,24,5,3,6,0,3,9,66.7,0,17,69178,Charged Off
118168319,TX,48000,6 years,Post-inspector,RENT,104.07,3000,debt_consolidation, 36 months,15.05%,3895,13,519,67,42,8,7,0,41,5,7,3,0,5,6,0,0,15,23368,Fully Paid
146689355,NY,77000,10+ years,Archivist,ANY,855.03,26000,credit_card, 36 months,11.31%,8483,0,10146,133,295,125,125,0,,3,2,2,0,0,2,100,0,6,16965,Fully Paid
6594923,IL,184000,2 years,Argo Group,MORTGAGE,660,20000,credit_card, 36 months,11.55%,28680,,,146,148,4,4,4,,11,3,8,0,2,12,75,0,27,39298,Fully Paid
70680474,DE,70000,,,MORTGAGE,465.15,23000,credit_card, 60 months,7.89%,28119,7,1165,149,161,12,8,1,,6,17,6,0,3,9,0,0,33,65893,Fully Paid
7439757,IN,68000,2 years,Inside Sales,MORTGAGE,421.27,16675,credit_card, 60 months,17.76%,2212,,,103,347,11,11,0,,6,7,10,0,1,12,83.3,0,20,24332,Fully Paid
14268074,NY,24000,10+ years,food service,RENT,257,7350,debt_consolidation, 36 months,15.61%,840,,,242,151,2,2,0,23,6,8,10,1,4,11,100,0,22,9243,Fully Paid
21290951,IN,85000,9 years,Truck Driver,MORTGAGE,330.57,10000,home_improvement, 36 months,11.67%,13413,,,127,138,7,7,1,,4,8,4,0,4,7,25,0,14,28737,Fully Paid
3704772,TX,102000,10+ years,City of Austin Texas,MORTGAGE,484.24,20000,debt_consolidation, 60 months,15.80%,6350,,,76,185,1,1,3,,16,5,23,0,4,26,81.2,0,33,50374,Fully Paid
879516,CA,40000,7 years,Bethesda Lutheran Communities,RENT,310.12,20500,debt_consolidation, 60 months,12.69%,,,,,,,,,59,,,,,,9,,0,33,,Charged Off
7095298,MN,38000,< 1 year,Rensch and Becker Orthondontics,RENT,360.01,13500,debt_consolidation, 60 months,20.31%,3394,,,143,120,13,13,4,20,6,11,9,2,0,10,66.7,0,30,27155,Charged Off
19055653,NJ,109000,4 years,Superintendent,RENT,541.04,23000,credit_card, 60 months,14.49%,41961,,,80,171,32,14,1,22,8,4,3,0,0,6,100,0,13,109706,Fully Paid
65843184,MN,49000,8 years,HEALTH TRACKER,OWN,651.37,20000,debt_consolidation, 36 months,10.64%,2183,,,149,270,4,4,0,3,6,4,7,0,1,7,66.7,0,18,15281,Fully Paid
98917324,IL,45000,1 year,Technician,MORTGAGE,356.78,15000,debt_consolidation, 60 months,14.99%,20024,0,5268,121,218,30,17,3,,5,2,3,0,0,5,66.7,1,11,14909,Fully Paid
90179093,GA,59000,8 years,Management ,MORTGAGE,593.49,18000,debt_consolidation, 36 months,11.49%,16635,2,4874,109,219,2,2,1,31,9,5,7,0,3,11,33.3,0,18,48668,Fully Paid
31527598,FL,78000,6 years,General Manager,RENT,779.84,25000,home_improvement, 36 months,7.69%,1444,,,114,211,10,10,3,62,9,3,4,0,1,5,0,1,17,5775,Fully Paid
151983276,KY,74000,,,MORTGAGE,634.23,20000,debt_consolidation, 36 months,8.81%,15499,4,4726,153,180,25,8,4,4,4,13,8,0,3,14,100,0,33,40398,Fully Paid
58523288,LA,43000,< 1 year,District Director,RENT,201.27,6000,credit_card, 36 months,12.69%,7440,,,96,90,33,4,0,22,3,12,5,0,1,7,100,0,18,52081,Fully Paid
59372016,CA,38000,2 years,CSR,RENT,263.93,8000,credit_card, 36 months,11.53%,3350,,,95,423,13,12,0,,3,19,5,0,1,15,50,0,26,50243,Fully Paid
141967616,MA,70000,< 1 year,Motor Coach Operator,RENT,361.38,10000,other, 36 months,17.97%,2235,6,2281,119,50,5,5,0,,7,5,9,0,3,11,57.1,0,14,24585,Fully Paid
